# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
15003,  0.01,  0,  3, 23.80, 30.93, -119.81, 22.35, -160.05, -3.57, -7.53, -4.31, 1
15999,  0.02,  1,  4, 23.80, 31.10, -120.33, 21.87, -159.70, -3.65, -7.85, -4.59, 1
16994,  0.02,  0,  4, 23.80, 30.68, -120.54, 20.75, -158.74, -3.45, -7.85, -4.63, 1
17990,  0.02,  0,  4, 23.80, 31.35, -119.99, 20.33, -158.74, -3.37, -7.88, -4.55, 1
18986,  0.02,  0,  4, 23.70, 30.35, -120.96, 21.10, -160.69, -3.53, -7.85, -4.71, 1
19982,  0.02,  0,  4, 23.70, 30.77, -119.87, 20.48, -159.89, -3.41, -7.92, -4.55, 1
20978,  0.02,  1,  5, 23.70, 30.60, -119.65, 21.38, -159.87, -3.57, -7.92, -4.51, 1
21974,  0.02,  0,  5, 23.70, 31.18, -120.11, 21.91, -160.56, -3.65, -7.85, -4.55, 1
22969,  0.03,  1,  6, 23.70, 30.85, -119.20, 20.42, -158.56, -3.41, -8.00, -4.47, 1
23965,  0.03,  0,  6, 23.70, 30.85, -119.49, 23.94, -159.88, -3.96, -7.77, -4.39, 1
24961,  0.03,  0,  6, 23.70, 30.10, -118.77, 21.14, -159.02, -3.53, -8.00, -4.39, 1
25957,  0.03,  0,  6, 23.70, 30.18, -116.78, 19.43, -157.14, -3.26, -8.24, -4.16, 1
26953,  0.03,  0,  6, 23.70, 30.93, -114.89, 17.25, -155.10, -2.98, -8.71, -4.04, 1
27949,  0.03,  1,  7, 23.70, 30.52, -116.13, 20.62, -160.96, -3.45, -8.24, -4.04, 1
28945,  0.03,  0,  7, 23.70, 31.02, -113.91, 19.47, -157.49, -3.22, -8.32, -3.69, 1
29940,  0.04,  1,  8, 23.70, 31.02, -114.36, 19.85, -159.01, -3.30, -8.32, -3.77, 1
30936,  0.04,  0,  8, 23.70, 30.35, -115.05, 20.86, -160.38, -3.53, -8.39, -3.92, 1
31932,  0.04,  0,  8, 23.70, 30.68, -114.04, 20.67, -159.40, -3.45, -8.36, -3.73, 1
32928,  0.04,  0,  8, 23.70, 31.44, -111.26, 17.99, -155.13, -3.02, -8.67, -3.37, 1
33924,  0.04,  0,  8, 23.70, 31.02, -111.07, 18.46, -155.77, -3.06, -8.55, -3.30, 1
34920,  0.04,  0,  8, 23.70, 31.10, -110.98, 18.61, -156.47, -3.10, -8.59, -3.30, 1
35916,  0.04,  0,  8, 23.70, 30.77, -112.98, 19.62, -161.01, -3.30, -8.51, -3.61, 1
